Date,INDEX,Close
5/26/1896,INDU,40.94
5/27/1896,INDU,40.58
5/28/1896,INDU,40.2
5/29/1896,INDU,40.63
6/1/1896,INDU,40.6
6/2/1896,INDU,40.04
6/3/1896,INDU,39.77
6/4/1896,INDU,39.94
6/5/1896,INDU,40.32
6/8/1896,INDU,39.81
6/9/1896,INDU,39.34
6/10/1896,INDU,38.41
6/11/1896,INDU,39.4
6/12/1896,INDU,39.31
6/15/1896,INDU,39.93
6/16/1896,INDU,40.45
6/17/1896,INDU,40.54
6/18/1896,INDU,39.76
6/19/1896,INDU,40.03
6/22/1896,INDU,38.73
6/23/1896,INDU,38.14
6/24/1896,INDU,38.27
6/25/1896,INDU,37.97
6/26/1896,INDU,37.89
6/29/1896,INDU,35.53
6/30/1896,INDU,36.15
7/1/1896,INDU,34.59
7/2/1896,INDU,34.91
7/3/1896,INDU,34.74
7/6/1896,INDU,34.87
7/7/1896,INDU,35.15
7/8/1896,INDU,35.19
7/9/1896,INDU,34.68
7/10/1896,INDU,34.84
7/13/1896,INDU,34.69
7/14/1896,INDU,33.43
7/15/1896,INDU,32.28
7/16/1896,INDU,31.95
7/17/1896,INDU,31.94
7/20/1896,INDU,30.5
7/21/1896,INDU,30.68
7/22/1896,INDU,31.99
7/23/1896,INDU,32.29
7/24/1896,INDU,31.54
7/27/1896,INDU,31.46
7/28/1896,INDU,30.82
7/29/1896,INDU,30.97
7/30/1896,INDU,31.48
7/31/1896,INDU,32.02
8/3/1896,INDU,31.49
8/4/1896,INDU,30.99
8/5/1896,INDU,30.93
8/6/1896,INDU,29.99
8/7/1896,INDU,28.66
8/10/1896,INDU,28.96
8/11/1896,INDU,30.3
8/12/1896,INDU,29.37
8/13/1896,INDU,30.37
8/14/1896,INDU,30.73
8/17/1896,INDU,31.06
8/18/1896,INDU,30.99
8/19/1896,INDU,31.31
8/20/1896,INDU,30.72
8/21/1896,INDU,30.55
8/24/1896,INDU,30.67
8/25/1896,INDU,30.61
8/26/1896,INDU,30.29
8/27/1896,INDU,30.31
8/28/1896,INDU,30.88
8/31/1896,INDU,31.97
9/1/1896,INDU,32.02
9/2/1896,INDU,33.49
9/3/1896,INDU,33.8
9/4/1896,INDU,34.7
9/8/1896,INDU,35.5
9/9/1896,INDU,35.39
9/10/1896,INDU,34.58
9/11/1896,INDU,35.3
9/14/1896,INDU,34.86
9/15/1896,INDU,34.13
9/16/1896,INDU,33.32
9/17/1896,INDU,34.33
9/18/1896,INDU,34.81
9/21/1896,INDU,35.53
9/22/1896,INDU,35.59
9/23/1896,INDU,35.78
9/24/1896,INDU,36.23
9/25/1896,INDU,36.61
9/28/1896,INDU,36.35
9/29/1896,INDU,36.33
9/30/1896,INDU,36.05
10/1/1896,INDU,36.01
10/2/1896,INDU,35.88
10/5/1896,INDU,35.92
10/6/1896,INDU,35.91
10/7/1896,INDU,35.3
10/8/1896,INDU,35.42
10/9/1896,INDU,34.96
10/12/1896,INDU,34.74
10/13/1896,INDU,36.18
10/14/1896,INDU,36.15
10/15/1896,INDU,36.2
10/16/1896,INDU,36.26
10/19/1896,INDU,36.5
10/20/1896,INDU,37.42
10/21/1896,INDU,37.32
10/22/1896,INDU,37.86
10/23/1896,INDU,38.49
10/26/1896,INDU,38.71
10/27/1896,INDU,38.88
10/28/1896,INDU,38.39
10/29/1896,INDU,37.75
10/30/1896,INDU,39.4
11/2/1896,INDU,40.93
11/4/1896,INDU,42.79
11/5/1896,INDU,41.86
11/6/1896,INDU,43.33
11/9/1896,INDU,44.44
11/10/1896,INDU,44.56
11/11/1896,INDU,44.33
11/12/1896,INDU,44.9
11/13/1896,INDU,44.5
11/16/1896,INDU,43.59
11/17/1896,INDU,43.59
11/18/1896,INDU,43.63
11/19/1896,INDU,43.44
11/20/1896,INDU,43.24
11/23/1896,INDU,42.95
11/24/1896,INDU,42.71
11/25/1896,INDU,42.47
11/27/1896,INDU,41.9
11/30/1896,INDU,41
12/1/1896,INDU,41.98
12/2/1896,INDU,41.95
12/3/1896,INDU,42.22
12/4/1896,INDU,42.07
12/7/1896,INDU,41.58
12/8/1896,INDU,41.6
12/9/1896,INDU,41.78
12/10/1896,INDU,41.48
12/11/1896,INDU,41.42
12/14/1896,INDU,40.42
12/15/1896,INDU,39.5
12/16/1896,INDU,39.96
12/17/1896,INDU,40.8
12/18/1896,INDU,38.59
12/21/1896,INDU,39.8
12/22/1896,INDU,39.53
12/23/1896,INDU,39.76
12/24/1896,INDU,40.02
12/28/1896,INDU,40.14
12/29/1896,INDU,40.52
12/30/1896,INDU,40.62
12/31/1896,INDU,40.45
1/4/1897,INDU,40.37
1/5/1897,INDU,40.87
1/6/1897,INDU,40.95
1/7/1897,INDU,40.87
1/8/1897,INDU,40.97
1/11/1897,INDU,40.75
1/12/1897,INDU,41.4
1/13/1897,INDU,41.45
1/14/1897,INDU,41.79
1/15/1897,INDU,42.27
1/18/1897,INDU,42.76
1/19/1897,INDU,43.25
1/20/1897,INDU,42.78
1/21/1897,INDU,42.52
1/22/1897,INDU,42.42
1/25/1897,INDU,41.91
1/26/1897,INDU,42.22
1/27/1897,INDU,42.21
1/28/1897,INDU,41.88
1/29/1897,INDU,42.06
2/1/1897,INDU,42.38
2/2/1897,INDU,42.02
2/3/1897,INDU,41.93
2/4/1897,INDU,41.3
2/5/1897,INDU,41.23
2/8/1897,INDU,41.11
2/9/1897,INDU,40.57
2/10/1897,INDU,40.57
2/11/1897,INDU,40.27
2/15/1897,INDU,39.74
2/16/1897,INDU,40.3
2/17/1897,INDU,40.3
2/18/1897,INDU,40.32
2/19/1897,INDU,40.28
2/23/1897,INDU,40.69
2/24/1897,INDU,40.76
2/25/1897,INDU,40.21
2/26/1897,INDU,41.29
3/1/1897,INDU,41.69
3/2/1897,INDU,41.88
3/3/1897,INDU,42.13
3/4/1897,INDU,41.34
3/5/1897,INDU,41.45
3/8/1897,INDU,41.9
3/9/1897,INDU,41.62
3/10/1897,INDU,41.79
3/11/1897,INDU,41.94
3/12/1897,INDU,42.05
3/15/1897,INDU,42.08
3/16/1897,INDU,41.93
3/17/1897,INDU,41.5
3/18/1897,INDU,41.6
3/19/1897,INDU,41.12
3/22/1897,INDU,41.39
3/23/1897,INDU,40.86
3/24/1897,INDU,40.6
3/25/1897,INDU,40.58
3/26/1897,INDU,40.07
3/29/1897,INDU,39.13
3/30/1897,INDU,39.86
3/31/1897,INDU,39.47
4/1/1897,INDU,39.77
4/2/1897,INDU,39.81
4/5/1897,INDU,39.74
4/6/1897,INDU,39.57
4/7/1897,INDU,39.73
4/8/1897,INDU,40.37
4/9/1897,INDU,40.21
4/12/1897,INDU,39.95
4/13/1897,INDU,40.43
4/14/1897,INDU,39.76
4/15/1897,INDU,39.41
4/19/1897,INDU,38.49
4/20/1897,INDU,38.69
4/21/1897,INDU,38.91
4/22/1897,INDU,38.57
4/23/1897,INDU,38.49
4/26/1897,INDU,39.22
4/28/1897,INDU,39.02
4/29/1897,INDU,39.01
4/30/1897,INDU,38.96
5/3/1897,INDU,38.78
5/4/1897,INDU,39.48
5/5/1897,INDU,39.18
5/6/1897,INDU,39.54
5/7/1897,INDU,39.59
5/10/1897,INDU,39.95
5/11/1897,INDU,39.9
5/12/1897,INDU,39.69
5/13/1897,INDU,39.27
5/14/1897,INDU,38.94
5/17/1897,INDU,38.67
5/18/1897,INDU,39.2
5/19/1897,INDU,38.8
5/20/1897,INDU,38.67
5/21/1897,INDU,38.83
5/24/1897,INDU,39.33
5/25/1897,INDU,39.2
5/26/1897,INDU,39.55
5/27/1897,INDU,39.21
5/28/1897,INDU,39.64
6/1/1897,INDU,40.01
6/2/1897,INDU,40.22
6/3/1897,INDU,40.28
6/4/1897,INDU,40.52
6/7/1897,INDU,41.32
6/8/1897,INDU,41.74
6/9/1897,INDU,42.21
6/10/1897,INDU,42.38
6/11/1897,INDU,42.54
6/14/1897,INDU,42.96
6/15/1897,INDU,42.8
6/16/1897,INDU,42.39
6/17/1897,INDU,42.69
6/18/1897,INDU,43.07
6/21/1897,INDU,42.62
6/22/1897,INDU,42.8
6/23/1897,INDU,43.18
6/24/1897,INDU,43.39
6/25/1897,INDU,43.28
6/28/1897,INDU,44.61
6/29/1897,INDU,44.27
6/30/1897,INDU,44.1
7/1/1897,INDU,44.21
7/2/1897,INDU,44.18
7/6/1897,INDU,43.6
7/7/1897,INDU,44.07
7/8/1897,INDU,43.92
7/9/1897,INDU,44.16
7/12/1897,INDU,45.05
7/13/1897,INDU,45.61
7/14/1897,INDU,45.71
7/15/1897,INDU,45.27
7/16/1897,INDU,45.48
7/19/1897,INDU,46.45
7/20/1897,INDU,46.76
7/21/1897,INDU,46.95
7/22/1897,INDU,47.73
7/23/1897,INDU,47.88
7/26/1897,INDU,47.71
7/27/1897,INDU,47.11
7/28/1897,INDU,47.86
7/29/1897,INDU,47.7
7/30/1897,INDU,47.95
8/2/1897,INDU,48.84
8/3/1897,INDU,50.1
8/4/1897,INDU,50.74
8/5/1897,INDU,51.25
8/6/1897,INDU,51.72
8/9/1897,INDU,51.32
8/10/1897,INDU,51.73
8/11/1897,INDU,51.8
8/12/1897,INDU,51.97
8/13/1897,INDU,51.5
8/16/1897,INDU,52.19
8/17/1897,INDU,51.55
8/18/1897,INDU,51.79
8/19/1897,INDU,51.8
8/20/1897,INDU,51.65
8/23/1897,INDU,52.39
8/24/1897,INDU,52.53
8/25/1897,INDU,52.13
8/26/1897,INDU,52.56
8/27/1897,INDU,52.92
8/30/1897,INDU,53.23
8/31/1897,INDU,54.81
9/1/1897,INDU,55.44
9/2/1897,INDU,55.77
9/3/1897,INDU,55.64
9/7/1897,INDU,55.75
9/8/1897,INDU,55.6
9/9/1897,INDU,55.81
9/10/1897,INDU,55.82
9/13/1897,INDU,54.61
9/14/1897,INDU,55.35
9/15/1897,INDU,55.62
9/16/1897,INDU,55.27
9/17/1897,INDU,55.46
9/20/1897,INDU,54.66
9/21/1897,INDU,52.53
9/22/1897,INDU,53.45
9/23/1897,INDU,53.6
9/24/1897,INDU,52.48
9/27/1897,INDU,52.93
9/28/1897,INDU,52.31
9/29/1897,INDU,51.9
9/30/1897,INDU,50.98
10/1/1897,INDU,51.54
10/4/1897,INDU,52.66
10/5/1897,INDU,52.26
10/6/1897,INDU,51.79
10/7/1897,INDU,51.37
10/8/1897,INDU,51.64
10/11/1897,INDU,50.64
10/12/1897,INDU,48.64
10/13/1897,INDU,49.35
10/14/1897,INDU,48.79
10/15/1897,INDU,48.42
10/18/1897,INDU,49.2
10/19/1897,INDU,49.84
10/20/1897,INDU,50.39
10/21/1897,INDU,49.82
10/22/1897,INDU,50
10/25/1897,INDU,48.76
10/26/1897,INDU,49.1
10/27/1897,INDU,48.6
10/28/1897,INDU,48.46
10/29/1897,INDU,48.81
11/1/1897,INDU,49.11
11/3/1897,INDU,47.67
11/4/1897,INDU,47.31
11/5/1897,INDU,45.73
11/8/1897,INDU,45.65
11/9/1897,INDU,46.53
11/10/1897,INDU,47.12
11/11/1897,INDU,46.19
11/12/1897,INDU,46.44
11/15/1897,INDU,46.47
11/16/1897,INDU,47.05
11/17/1897,INDU,46.83
11/18/1897,INDU,46.99
11/19/1897,INDU,47.27
11/22/1897,INDU,46.89
11/23/1897,INDU,46.63
11/24/1897,INDU,46.21
11/26/1897,INDU,46.7
11/29/1897,INDU,46.8
11/30/1897,INDU,47.46
12/1/1897,INDU,48.41
12/2/1897,INDU,48.31
12/3/1897,INDU,48.31
12/6/1897,INDU,48.79
12/7/1897,INDU,49.46
12/8/1897,INDU,49.39
12/9/1897,INDU,49.6
12/10/1897,INDU,49.18
12/13/1897,INDU,49.81
12/14/1897,INDU,49.67
12/15/1897,INDU,49.02
12/16/1897,INDU,48.54
